"gene_id"	"gene"	"baseMean"	"log2FoldChange"	"lfcSE"	"pvalue"	"padj"
"ENSG00000187653"	"TMSB4XP8"	950.987181434791	-5.33384744522906	0.212762379332794	5.47741114583575e-140	8.97966783248313e-136
"ENSG00000100292"	"HMOX1"	9410.0594757528	4.07776668290558	0.171126655958346	5.44675689929973e-127	4.46470663035599e-123
"ENSG00000232679"	"LINC01705"	1011.98281974339	7.58991413429009	0.394462269199493	8.86078817917925e-85	4.84212538031549e-81
"ENSG00000173530"	"TNFRSF10D"	4031.15483308724	2.475186651327	0.138113965822769	6.11675290905646e-74	2.50695117977679e-70
"ENSG00000166949"	"SMAD3"	2751.63329374568	-2.45458684878386	0.139681768240441	3.28888942343562e-71	1.07836106415607e-67
"ENSG00000155511"	"GRIA1"	616.172981601399	-5.16265316588296	0.296895275356767	5.47056259010606e-69	1.49474005170331e-65
"ENSG00000092068"	"SLC7A8"	2453.97147139586	4.16176963712926	0.24207673265548	1.06163017574057e-67	2.48633787158442e-64
"ENSG00000163041"	"H3-3A"	1130.35792558454	2.81355917369272	0.167076585921708	3.3116642485588e-66	6.78642796135912e-63
"ENSG00000164308"	"ERAP2"	380.758254817615	-3.72537116019362	0.241006990110105	6.9904340023152e-56	1.27334638926617e-52
"ENSG00000189057"	"FAM111B"	614.422694389221	-3.28388752002012	0.218007547644397	8.14142202796474e-54	1.33470472726454e-50
"ENSG00000108691"	"CCL2"	888.417198902493	-3.19605017567104	0.2151927992434	1.66881627063284e-52	2.48714308552316e-49
"ENSG00000198768"	"APCDD1L"	1724.09227412649	3.5246463989977	0.239314506608641	2.31035793054961e-51	3.15633399278586e-48
"ENSG00000198948"	"MFAP3L"	264.578920453226	4.17774237458001	0.281847058535923	3.47380642305617e-51	4.38073711535252e-48
"ENSG00000163531"	"NFASC"	4034.07347300946	2.12366851730873	0.143596284340092	5.06850893920286e-51	5.93522396780655e-48
"ENSG00000164176"	"EDIL3"	563.111658950173	4.34689528857747	0.294248730255588	9.50120196916624e-51	1.03841803388341e-47
"ENSG00000197903"	"H2BC12"	881.381192820633	3.1033375046494	0.21306031641194	1.04879349039235e-50	1.07462003009327e-47
"ENSG00000116396"	"KCNC4"	859.999761512064	2.35979467097072	0.166173516739563	1.08665857369197e-47	1.04792239159448e-44
"ENSG00000198846"	"TOX"	318.352740519064	-3.46125980793417	0.245385874846489	1.57214868535964e-47	1.43187808598811e-44
"ENSG00000124762"	"CDKN1A"	19917.903294031	2.55533035500133	0.181001594339327	1.6944576651123e-47	1.46204941904479e-44
"ENSG00000180155"	"LYNX1"	1067.38545156099	3.40584399190208	0.24674425856109	9.34994844288221e-46	7.66415273863054e-43
"ENSG00000054654"	"SYNE2"	571.589644560435	-3.80283465232925	0.274246106374991	1.27147844918826e-45	9.926008426663e-43
"ENSG00000138623"	"SEMA7A"	7072.44917358085	2.47541053694478	0.179967728672425	3.67048054501788e-45	2.73517536613741e-42
"ENSG00000110092"	"CCND1"	45962.3441513669	1.95980664012961	0.141516673449511	6.5902244167441e-45	4.69739735165664e-42
